Symbol number
27003 400000
27034 391288
27086 400000
27138 393466
27190 397822
27242 392159
27298 400000
27347 400000
27399 397386
27451 400000
27503 393466
27555 397386
27608 397386
27660 400000
27712 400000
27764 394772
27817 400000
27869 400000
27921 400000
27973 397386
28003 391288
28029 391288
28080 394772
28132 400000
28184 400000
28236 400000
28289 400000
28341 394772
28397 400000
28445 400000
28498 397386
28550 397386
28602 397386
28654 400000
28706 400000
28760 400000
28810 400000
28862 394772
28915 400000
28967 400000
29003 400000
29020 400000
29073 397386
29124 397386
29176 400000
29228 400000
29281 400000
29333 400000
29385 392159
29437 400000
29490 400000
29542 400000
29598 397822
29646 396733
29699 400000
29751 400000
29804 400000
29857 400000
29908 394772
29960 397386
30003 400000
30013 400000
30065 400000
30118 400000
30170 394772
30222 400000
30274 400000
30328 400000
30379 400000
30430 394772
30483 397386
30535 400000
30588 400000
30640 400000
30697 397822
30744 400000
30796 400000
30849 400000
30901 400000
30958 395644
31003 396733
31010 400000
31065 400000
31114 400000
31167 400000
31219 400000
31271 397386
31323 400000
31375 400000
31428 400000
31480 395644
31532 397386
31584 400000
31638 400000
31689 400000
31741 400000
31793 397822
31845 400000
31897 400000
31950 400000
32002 400000
32054 392159
32107 400000
32165 400000
32211 400000
32264 400000
32315 397386
32367 400000
32420 400000
32472 400000
32524 400000
32576 394772
32628 397386
32681 400000
32733 400000
32785 400000
32838 395644
32889 400000
32942 400000
32994 400000
33004 400000
33046 400000
33098 394772
33151 397386
33203 400000
33255 400000
33307 400000
33364 395644
33412 400000
33464 400000
33516 400000
33568 400000
33621 400000
33673 392159
33725 400000
33778 400000
33831 400000
33882 400000
33934 394772
33986 400000
34004 400000
34039 400000
34097 400000
34143 400000
34198 394772
34248 397386
34300 400000
34352 400000
34404 400000
34456 395644
34508 400000
34564 400000
34613 400000
34665 400000
34717 394772
34769 397822
34821 400000
34874 400000
34931 400000
34978 394772
35004 400000
35030 400000
35083 400000
35135 400000
35192 400000
35243 394772
35295 397386
35347 394772
35400 400000
35451 400000
35504 394772
35557 400000
35609 400000
35661 400000
35713 400000
35765 395644
35818 397386
35870 400000
35922 400000
35974 400000
36004 400000
36033 391288
36085 400000
36137 400000
36189 400000
36241 400000
36298 395644
36346 397386
36398 400000
36450 400000
36503 400000
36555 400000
36607 394772
36660 400000
36713 400000
36765 400000
36818 394772
36869 397386
36921 400000
36974 392159
37004 400000
37026 400000
37079 400000
37131 393466
37183 400000
37236 400000
37289 400000
37340 400000
37393 393466
37445 400000
37498 400000
37549 397386
37602 400000
37654 394772
37706 397822
37758 394772
37811 400000
37863 400000
37915 392159
37967 400000
38004 400000
38019 400000
38072 393466
38124 400000
38176 394772
38229 400000
38281 386932
38333 400000
38385 400000
38437 400000
38489 393466
38541 400000
38598 397386
38646 394772
38699 400000
38751 393466
38804 389545
38856 397386
38908 400000
38965 393466
39005 400000
39014 400000
39066 400000
39118 397386
39171 386932
39223 400000
39275 394772
39327 391288
39379 394772
39432 400000
39484 400000
39536 392159
39588 400000
39641 397822
39693 392159
39748 394772
39798 394772
39850 394772
39902 397386
39957 400000
40005 400000
40061 392159
40113 400000
40166 397822
40223 392159
40276 389545
40327 397386
40380 397386
40432 395644
40484 400000
40537 392159
40589 400000
40640 400000
40696 395644
40747 389545
40799 392159
40852 394772
40904 397386
40956 397386
41005 397386
41008 386932
41061 389545
41113 397386
41165 400000
41218 394772
41269 392159
41321 394772
41374 391288
41431 400000
41484 393466
41536 389545
41588 386932
41640 400000
41698 400000
41744 400000
41797 397386
41849 400000
41901 393466
41954 397386
42005 397386
42058 392159
42110 397386
42162 392159
42215 397822
42267 400000
42320 400000
42371 400000
42424 400000
42476 389110
42531 397386
42581 397386
42633 389545
42685 397386
42737 400000
42790 400000
42848 400000
42893 400000
42946 400000
42998 400000
43005 373864
43050 400000
43102 395644
43154 397386
43210 397386
43258 400000
43311 394772
43363 391288
43415 400000
43467 400000
43520 400000
43572 392159
43624 394772
43676 400000
43727 389545
43780 400000
43832 400000
43884 397386
43936 389545
43989 391288
44005 400000
44041 400000
44098 392159
44145 392159
44198 400000
44250 400000
44302 395644
44356 394772
44408 394772
44460 394772
44512 397386
44564 391288
44617 384318
44669 392159
44725 397822
44773 396733
44831 400000
44877 397386
44930 397386
44983 392159
45005 386932
45038 396733
45087 393466
45139 395644
45192 394772
45244 400000
45298 400000
45348 397386
45401 400000
45453 397386
45505 389545
45561 400000
45609 394772
45664 395644
45713 397386
45766 397386
45818 400000
45870 397386
45922 394772
45974 397386
46006 400000
46027 382576
46079 400000
46131 397386
46183 394772
46237 400000
46288 394772
46340 400000
46397 397386
46444 400000
46498 400000
46550 394772
46602 389110
46655 400000
46707 394772
46764 400000
46813 400000
46864 400000
46917 400000
46970 400000
47006 400000
47021 400000
47074 397386
47127 394772
47178 394772
47230 397822
47283 397386
47334 400000
47386 400000
47439 397386
47492 395644
47545 400000
47596 397386
47649 389545
47701 392159
47753 395644
47805 400000
47857 400000
47909 400000
47962 394772
48006 392159
48066 400000
48119 397386
48172 400000
48224 397386
48276 394772
48328 400000
48380 397822
48432 394772
48485 400000
48537 392159
48589 397386
48642 400000
48693 397386
48746 397822
48797 392159
48850 394772
48902 400000
48955 397386
49006 397386
49007 400000
49062 397386
49114 397386
49166 397386
49218 394772
49270 392159
49323 395644
49375 397386
49427 400000
49479 400000
49531 392159
49584 397386
49636 394772
49698 397822
49747 392159
49799 397386
49852 395644
49904 397386
49956 397386
50006 397386
50063 397822
50114 400000
50165 397386
50218 397386
50270 397386
50331 397822
50376 397386
50428 394772
50480 400000
50532 400000
50586 400000
50638 395644
50695 400000
50744 397386
50799 394772
50848 397386
50900 397386
50952 397822
51004 400000
51056 394772
51109 397386
51164 400000
51213 397386
51269 400000
51320 397386
51371 397386
51424 397386
51476 397386
51528 400000
51580 391288
51633 397386
51685 400000
51737 400000
51789 400000
51841 397386
51894 400000
51946 394772
51998 400000
52006 386932
52050 400000
52103 400000
52155 397386
52207 397386
52260 400000
52311 400000
52364 394772
52416 400000
52468 392159
52521 397386
52573 400000
52625 397386
52677 400000
52732 395644
52785 397386
52837 397386
52890 397386
52942 400000
52998 397386
53006 373864
