dB
443 -0.0399999991059
495 -0.0399999991059
547 -0.0399999991059
599 -0.0399999991059
651 -0.0399999991059
704 -0.0399999991059
756 -0.0399999991059
808 -0.0399999991059
860 -0.0399999991059
913 -0.0399999991059
965 -0.0399999991059
999 16.9899997711
1017 15.2399997711
1069 15.2399997711
1121 15.2399997711
1173 15.2399997711
1226 15.2399997711
1278 15.2399997711
1330 15.2399997711
1382 15.2399997711
1436 15.2399997711
1487 15.2399997711
1541 15.2399997711
1593 15.2399997711
1645 15.2399997711
1698 15.2399997711
1750 15.2399997711
1802 15.2399997711
1855 15.2399997711
1906 15.2399997711
1959 15.2399997711
2000 15.2399997711
2011 15.2399997711
2063 15.2399997711
2115 15.2399997711
2169 15.2399997711
2220 15.2399997711
2272 15.2399997711
2325 15.2399997711
2377 15.2399997711
2429 15.2399997711
2481 15.2399997711
2533 15.2399997711
2585 15.2399997711
2638 15.2399997711
2690 15.2399997711
2742 15.2399997711
2794 15.2399997711
2846 15.2399997711
2898 15.2399997711
2951 15.2399997711
3000 15.2399997711
3003 15.2399997711
3056 15.2399997711
3107 15.2399997711
3160 15.2399997711
3212 15.2399997711
3263 15.2399997711
3316 15.2399997711
3369 15.2399997711
3421 15.2399997711
3474 15.2399997711
3525 15.2399997711
3578 15.2399997711
3630 15.2399997711
3682 15.2399997711
3734 15.2399997711
3786 15.2399997711
3838 15.2399997711
3891 15.2399997711
3943 15.2399997711
3995 15.2399997711
4047 15.2399997711
4100 15.2399997711
4152 15.2399997711
4204 15.2399997711
4256 15.2399997711
4308 15.2399997711
4361 15.2399997711
4413 15.2399997711
4465 15.2399997711
4518 15.2399997711
4570 15.2399997711
4622 15.2399997711
4675 15.2399997711
4727 15.2399997711
4779 15.2399997711
4832 15.2399997711
4884 15.2399997711
4936 15.2399997711
4988 15.2399997711
5040 15.2399997711
5093 15.2399997711
5145 15.2399997711
5197 15.2399997711
5249 15.2399997711
5302 15.2399997711
5354 15.2399997711
5406 15.2399997711
5459 15.2399997711
5510 15.2399997711
5562 15.2399997711
5614 15.2399997711
5667 15.2399997711
5719 15.2399997711
5771 15.2399997711
5824 15.2399997711
5876 15.2399997711
5928 15.2399997711
5980 15.2399997711
6032 15.2399997711
6085 15.2399997711
6137 15.2399997711
6190 15.2399997711
6242 15.2399997711
6295 15.2399997711
6347 15.2399997711
6399 15.2399997711
6452 15.2399997711
6504 15.2399997711
6556 15.2399997711
6608 15.2399997711
6661 15.2399997711
6713 15.2399997711
6765 15.2399997711
6817 15.2399997711
6869 15.2399997711
6922 15.2399997711
6975 15.2399997711
7000 15.2399997711
7027 15.2399997711
7079 15.2399997711
7131 15.2399997711
7183 15.2399997711
7235 15.2399997711
7287 15.2399997711
7340 15.2399997711
7392 15.2399997711
7444 15.2399997711
7496 15.2399997711
7548 15.2399997711
7600 15.2399997711
7653 15.2399997711
7705 15.2399997711
7757 15.2399997711
7809 15.2399997711
7862 15.2399997711
7914 15.2399997711
7966 15.2399997711
8000 15.2399997711
8018 15.2399997711
8070 15.2399997711
8123 15.2399997711
8175 15.2399997711
8227 15.2399997711
8279 15.2399997711
8331 15.2399997711
8384 15.2399997711
8436 15.2399997711
8488 15.2399997711
8541 15.2399997711
8593 15.2399997711
8645 15.2399997711
8697 15.2399997711
8750 15.2399997711
8802 15.2399997711
8854 15.2399997711
8906 15.2399997711
8959 15.2399997711
9000 15.2399997711
9063 15.2399997711
9115 15.2399997711
9167 15.2399997711
9220 15.2399997711
9273 15.2399997711
9325 15.2399997711
9377 15.2399997711
9429 15.2399997711
9482 15.2399997711
9533 15.2399997711
9586 15.2399997711
9638 15.2399997711
9690 15.2399997711
9742 15.2399997711
9795 15.2399997711
9847 15.2399997711
9899 15.2399997711
9951 15.2399997711
10000 15.2399997711
10003 15.2399997711
10056 15.2399997711
10108 15.2399997711
10160 15.2399997711
10212 15.2399997711
10265 15.2399997711
10318 15.2399997711
10369 15.2399997711
10421 15.2399997711
10473 15.2399997711
10526 15.2399997711
10578 15.2399997711
10630 15.2399997711
10682 15.2399997711
10734 15.2399997711
10786 15.2399997711
10839 15.2399997711
10891 15.2399997711
10943 15.2399997711
10996 15.2399997711
11048 15.2399997711
11100 15.2399997711
11153 15.2399997711
11204 15.2399997711
11256 15.2399997711
11311 15.2399997711
11363 15.2399997711
11416 15.2399997711
11468 15.2399997711
11520 15.2399997711
11573 15.2399997711
11625 15.2399997711
11677 15.2399997711
11729 15.2399997711
11781 15.2399997711
11833 15.2399997711
11885 15.2399997711
11938 15.2399997711
11990 15.2399997711
12042 15.2399997711
12094 15.2399997711
12147 15.2399997711
12199 15.2399997711
12251 15.2399997711
12303 15.2399997711
12355 15.2399997711
12407 15.2399997711
12460 15.2399997711
12512 15.2399997711
12564 15.2399997711
12617 15.2399997711
12669 15.2399997711
12721 15.2399997711
12773 15.2399997711
12826 15.2399997711
12878 15.2399997711
12930 15.2399997711
12982 15.2399997711
13034 15.2399997711
13087 15.2399997711
13139 15.2399997711
13191 15.2399997711
13243 15.2399997711
13295 15.2399997711
13348 15.2399997711
13400 15.2399997711
13452 15.2399997711
13504 15.2399997711
13557 15.2399997711
13609 15.2399997711
13661 15.2399997711
13713 15.2399997711
13766 15.2399997711
13818 15.2399997711
13870 15.2399997711
13922 15.2399997711
13975 15.2399997711
14001 15.2399997711
14027 15.2399997711
14079 15.2399997711
14131 15.2399997711
14184 15.2399997711
14236 15.2399997711
14288 15.2399997711
14340 15.2399997711
14393 15.2399997711
14445 15.2399997711
14497 15.2399997711
14550 15.2399997711
